ab_id,pitcher_id,p_throws,pitch_type,pfx_x,vy0,px,pz,type_confidence
2015020082,453562,R,SL,5.13,-131.877,0.636,1.327,2.0
2015020082,453562,R,SL,6.13,-130.974,-0.746,2.136,2.0
2015020082,453562,R,SL,4.74,-131.564,-0.546,2.609,2.0
2015020082,453562,R,FF,-6.39,-137.389,-0.323,1.839,2.0
2015020083,453562,R,SL,4.5,-130.221,-0.381,1.647,2.0
2015020083,453562,R,FF,-6.42,-135.849,-0.371,1.508,2.0
2015020083,453562,R,SL,4.73,-132.702,-0.335,1.474,2.0
2015020083,453562,R,FF,-5.45,-137.716,-0.767,4.044,2.0
2015020083,453562,R,SI,-10.28,-136.079,-0.042,2.734,2.0
2015020083,453562,R,SL,5.87,-131.021,1.958,1.586,2.0
2015020083,453562,R,CU,6.37,-115.713,-1.438,1.68,2.0
2015020083,453562,R,CU,8.08,-116.457,0.13,0.829,2.0
2015020087,453562,R,SL,3.85,-131.67,-0.248,1.555,2.0
2015020087,453562,R,FF,-4.09,-133.238,-0.98,4.018,2.0
2015020087,453562,R,SI,-8.82,-135.772,-0.639,2.143,2.0
2015020088,453562,R,FF,-7.31,-137.763,-0.816,2.605,2.0
2015020088,453562,R,FF,-6.94,-136.359,0.486,2.896,2.0
2015020088,453562,R,SL,5.37,-130.868,-1.148,3.72,2.0
2015020088,453562,R,SI,-7.19,-137.124,-1.262,2.093,2.0
2015020088,453562,R,SL,4.4,-130.781,-1.386,1.384,2.0
2015020089,453562,R,SL,3.93,-130.218,0.708,1.118,2.0
2015020089,453562,R,FF,-7.76,-137.601,-1.192,1.66,2.0
2015020089,453562,R,SL,1.61,-129.228,1.206,1.823,2.0
2015020089,453562,R,SI,-8.45,-135.884,-1.152,3.441,2.0
2015020090,453562,R,FF,-5.73,-136.11,0.767,2.259,2.0
2015020090,453562,R,FF,-8.09,-137.196,-0.428,2.745,2.0
